image,name,main_category
https://m.media-amazon.com/images/I/61rtQigzN5L._AC_UL320_.jpg,"XTRIM Skipping Rope for Cardio Muscular Activities, Gym & Fitness Enthusiasts, Virgin PVC Rope, Ergonomic Handle, Lightwei...",sports & fitness
https://m.media-amazon.com/images/I/71prxn3VqNL._AC_UL320_.jpg,"XTRIM Durafit Unisex Stylish Ankle Straps with Metal D-Rings for Cable Machine, Kickbacks and Glutes Workouts, Adjustable ...",sports & fitness
https://m.media-amazon.com/images/I/513+T+wyO3L._AC_UL320_.jpg,"Cockatoo Anti-Burst Gym Ball ( 55 Cm to 95 Cm) with Foot Pump, Exercise Ball",sports & fitness
https://m.media-amazon.com/images/I/41Pfcb8nDiL._AC_UL320_.jpg,"Renewa Shoulder Exercise Equipment Rope with Pulley - Eco,Plastic Blue and Red",sports & fitness
https://m.media-amazon.com/images/I/615evsyGKLL._AC_UL320_.jpg,SPARNOD FITNESS SAB-05 Upright Air Bike Exercise Cycle for Home Gym - Dual Action for Full Body Workout - Adjustable Resis...,sports & fitness
https://m.media-amazon.com/images/I/61qoz5T51VL._AC_UL320_.jpg,Jockey Men's Cotton Track Pants,sports & fitness
https://m.media-amazon.com/images/I/41VZexn3ZpL._AC_UL320_.jpg,"Hind Home Women's Ultra-Thin Transparent Nylon Ankle Length Socks (Beige Color, Free Sze) - Set of 10 Pair",sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41uj3alv9rL._AC_UL320_.jpg,Gymwar Gym Gloves for Weight Lifting Crossfit Fitness Workout Exercise Hand Grips for Women (Free Size),sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71U9fJpqaFL._AC_UL320_.jpg,"ARNV Yoga and Exercise Mat with Carrying Strap, 8mm",sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/7152PCh-V8L._AC_UL320_.jpg,Jockey Women's Cotton Boyshorts (Pack of 1) (SS04_Black_M_Black_M),sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51U4BHYfPzL._AC_UL320_.jpg,Star X PRO PVC weight 10kg with Dummbell rod,sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51FS0XhYAnL._AC_UL320_.jpg,"FitBox Sports Wall Mounting Chin Up Bar, Pull Up Bar & Ab Straps Combo",sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61roYJfIUaL._AC_UL320_.jpg,"obliss Weight Loss Hot Slimming Belt for Men , Women Belly Sweat Slim Belt Neoprene Fat Burning Sauna Waist Trainer Health...",sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/610kiYkbt8L._AC_UL320_.jpg,BLUMORA Exercise Bands Resistance Bands Set for Workingout Door Fitness Gym Resistance Bands Kit for Men Women Streching R...,sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71DYbnDt+5L._AC_UL320_.jpg,"Fashnex Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope ...",sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91T3ImnBwUL._AC_UL320_.jpg,AmazonBasics Puzzle Exercise Mat with EVA Foam Interlocking Tiles,sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61e5BpnZ5OL._AC_UL320_.jpg,"Proberos® Cotton Yoga Socks Sport Fitness Half Toe Ankle Grip Gym No-Slip Socks for Pilates, Barre, Ballet, Barefoot Workout",sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61C+i6EoJhL._AC_UL320_.jpg,"USI UNIVERSAL THE UNBEATABLE Power Lifting Belt, 790PL_S Light Lifting Belt for Men & Women Weightlifting Competition Work...",sports & fitness
https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81MHjhYl1YL._AC_UL320_.jpg,Puma polyester 23 Cms Gym Bag(7572229_Pink_X_Red),sports & fitness
